"STATION","NAME","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USR0000CRDS","REDSTONE COLORADO, CO US","2020",,"685",,,"-3",,,,"98","6194",,,"50.3","62.8","37.8",,,,,,,
"USS0006J09S","RABBIT EARS, CO US","2015",,,"      223",,,"63",,"2.00",,,"39.23",,,,,,,,,,,
"USS0006J09S","RABBIT EARS, CO US","2016",,,"      211",,,"87",,"1.60",,,"45.10",,,,,,,,,,,
"USS0006J09S","RABBIT EARS, CO US","2017",,,"      246",,,"65",,"1.40",,,"38.92",,,,,,,,,,,
"USS0006J09S","RABBIT EARS, CO US","2018",,,"      233",,,"78",,"2.00",,,"40.39",,,,,,,,,,,
"USS0006J09S","RABBIT EARS, CO US","2019",,"0","      252",,"-10","86",,"2.00","78","10005","46.13",,"37.5","47.7","27.2",,,,,,,
"USS0006J09S","RABBIT EARS, CO US","2020",,"4","      241",,"-11","86",,"1.80","81","9720","34.78",,"39.1","49.9","28.2",,,,,,,
"USW00003026","BURLINGTON CARSON AIRPORT, CO US","2015","11.6","969",,,"-7",,,"1.36","99","5576","23.51",,"53.0","66.8","39.3","       230","       220",,,"47.0","62.0",
"USW00003026","BURLINGTON CARSON AIRPORT, CO US","2016","12.3","998",,,"-15",,,"2.47","104","5303","19.33",,"53.3","68.4","38.2","       270","       250",,,"61.1","74.0",
"USW00003026","BURLINGTON CARSON AIRPORT, CO US","2017","11.6","826",,,"-9",,,"2.25","100","5109","24.87",,"52.6","67.3","37.8","       240","       280",,,"48.1","59.9",
"USW00003026","BURLINGTON CARSON AIRPORT, CO US","2018","11.9","996",,,"-8",,,"2.19","102","5718","17.18",,"51.3","66.4","36.2","       320","       340",,,"55.0","74.0",
"USW00003026","BURLINGTON CARSON AIRPORT, CO US","2019","11.6","1040",,,"-11",,,"1.57","104","6333","15.16",,"50.9","65.4","36.3","       340","       350",,,"52.1","74.0",
"USW00003026","BURLINGTON CARSON AIRPORT, CO US","2020","12.5","1182",,,"-3",,,"3.38","104","5607","13.44",,"53.1","68.9","37.4","       320","       330",,,"53.9","74.0",
"USS0005J39S","BEAR LAKE, CO US","2015",,"1","      229",,"-9","57",,"2.10","77","8956","34.32",,"40.9","49.4","32.5",,,,,,,
"USS0005J39S","BEAR LAKE, CO US","2016",,"5","      203",,"-8","61",,"1.40","79","8980","32.23",,"40.6","49.2","32.1",,,,,,,
"USS0005J39S","BEAR LAKE, CO US","2017",,"3","      231",,"-16","68",,"2.80","80","8809","41.43",,"40.8","49.4","32.3",,,,,,,
"USS0005J39S","BEAR LAKE, CO US","2018",,"5","      225",,"-10","49",,"1.40","79","8697","29.54",,"40.2","48.8","31.6",,,,,,,
"USS0005J39S","BEAR LAKE, CO US","2019",,"8","      238",,"-12","73",,"1.30","79","9570","35.23",,"38.9","47.6","30.3",,,,,,,
"USS0005J39S","BEAR LAKE, CO US","2020",,,"      229",,,"85",,"1.40",,"9254","28.96",,,,,,,,,,,
"USR0000CPOR","PORCUPINE CREEK COLORADO, CO US","2015",,"0",,,"-19",,,,"81","10119",,,"37.0","52.2","21.8",,,,,,,
"USR0000CPOR","PORCUPINE CREEK COLORADO, CO US","2016",,"0",,,"-24",,,,"83","10624",,,"36.2","51.8","20.6",,,,,,,
"USR0000CPOR","PORCUPINE CREEK COLORADO, CO US","2017",,,,,"-28",,,,"82",,,,"37.7","52.7","22.7",,,,,,,
"USR0000CPOR","PORCUPINE CREEK COLORADO, CO US","2018",,"0",,,"-18",,,,"85","9998",,,"36.5","52.2","20.7",,,,,,,
"USR0000CPOR","PORCUPINE CREEK COLORADO, CO US","2019",,"0",,,"-22",,,,"81","11024",,,"34.4","49.7","19.0",,,,,,,
"USR0000CPOR","PORCUPINE CREEK COLORADO, CO US","2020",,"0",,,"-25",,,,"84","10987",,,"35.5","51.8","19.2",,,,,,,
"USS0007M29S","LIZARD HEAD PASS, CO US","2015",,"0","      192",,"-12","60",,"1.60","76","9436","32.23",,"38.6","51.1","26.1",,,,,,,
"USS0007M29S","LIZARD HEAD PASS, CO US","2016",,"0","      187",,"-13","64",,"1.00","79","9905","28.44",,"38.2","51.0","25.4",,,,,,,
"USS0007M29S","LIZARD HEAD PASS, CO US","2017",,"0","      202",,"-11","72",,"1.00","76","9588","26.54",,"39.5","52.3","26.7",,,,,,,
"USS0007M29S","LIZARD HEAD PASS, CO US","2018",,"0","      198",,"-10","28",,"0.60","77","9218","17.74",,"38.4","51.9","24.9",,,,,,,
"USS0007M29S","LIZARD HEAD PASS, CO US","2019",,"0","      225",,"-15","89",,"1.20","76","10324","30.27",,"36.8","50.1","23.6",,,,,,,
"USS0007M29S","LIZARD HEAD PASS, CO US","2020",,"0","      188",,"-15","54",,"1.50","80","9769","19.86",,"38.7","52.6","24.8",,,,,,,
"US1COBO0030","BOULDER 1.9 SE, CO US","2015",,,,,,,,"2.13",,,"25.32",,,,,,,,,,,
"US1COBO0030","BOULDER 1.9 SE, CO US","2016",,,,,,,,"1.45",,,"15.43",,,,,,,,,,,
"US1COBO0030","BOULDER 1.9 SE, CO US","2017",,,,,,,,"1.94",,,"20.13",,,,,,,,,,,
"US1COBO0030","BOULDER 1.9 SE, CO US","2018",,,,,,,,"1.45",,,"17.87",,,,,,,,,,,
"US1COBO0030","BOULDER 1.9 SE, CO US","2019",,,,,,,,"1.44",,,"20.00",,,,,,,,,,,
"US1COBO0030","BOULDER 1.9 SE, CO US","2020",,,,,,,,"1.60",,,"16.16",,,,,,,,,,,
"USC00050756","BLACK FOREST 6 WNW, CO US","2015",,"405","       72","        27","-2","12","10.0","2.21","93","6104","28.19","100.1","49.7","63.1","36.3",,,,,,,
"USC00050756","BLACK FOREST 6 WNW, CO US","2016",,"476","       54","        26","-9","18","13.0","1.60","97","5947","20.35","98.7","50.4","64.5","36.3",,,,,,,
"USC00050756","BLACK FOREST 6 WNW, CO US","2017",,"424",,"        19","-3",,"8.1","1.44","95","5451","15.82","52.9","50.9","65.1","36.8",,,,,,,
"USC00050756","BLACK FOREST 6 WNW, CO US","2018",,"599","       31","        16","-2","6","5.9","0.45","99","5581","11.19","55.6","50.1","64.7","35.5",,,,,,,
"USC00050756","BLACK FOREST 6 WNW, CO US","2019",,"492","       79","        30","-7","11","11.0","1.76","96","6655","18.88","125.3","48.3","62.1","34.5",,,,,,,
"USC00050756","BLACK FOREST 6 WNW, CO US","2020",,"672","       52","        20","-4","8","7.4","1.18","98","6198","11.82","73.9","50.2","65.0","35.5",,,,,,,
"USC00052934","FLATIRON RESERVOIR, CO US","2015",,,,,,,,,,,"20.17",,,,,,,,,,,
"USC00052934","FLATIRON RESERVOIR, CO US","2016",,,,,,,,,,,"9.71",,,,,,,,,,,
"USC00052934","FLATIRON RESERVOIR, CO US","2017",,,,,,,,,,,"17.04",,,,,,,,,,,
"USC00052934","FLATIRON RESERVOIR, CO US","2018",,,,,,,,,,,"12.50",,,,,,,,,,,
"USC00052934","FLATIRON RESERVOIR, CO US","2019",,,,,,,,,,,"16.37",,,,,,,,,,,
"USC00052934","FLATIRON RESERVOIR, CO US","2020",,,,,,,,,,,"11.37",,,,,,,,,,,
"USR0000CBLK","BLACK MOUNTAIN COLORADO, CO US","2015",,"89",,,"-3",,,,"85","7006",,,"46.0","56.1","35.8",,,,,,,
"USR0000CBLK","BLACK MOUNTAIN COLORADO, CO US","2016",,"144",,,"-10",,,,"87","7063",,,"46.4","56.8","35.9",,,,,,,
"USR0000CBLK","BLACK MOUNTAIN COLORADO, CO US","2017",,"74",,,"-8",,,,"83","6763",,,"46.5","56.6","36.3",,,,,,,
"USR0000CBLK","BLACK MOUNTAIN COLORADO, CO US","2018",,"182",,,"-6",,,,"89","6439",,,"46.5","57.4","35.6",,,,,,,
"USR0000CBLK","BLACK MOUNTAIN COLORADO, CO US","2019",,"159",,,"-6",,,,"86","7711",,,"44.7","55.3","34.1",,,,,,,
"USR0000CBLK","BLACK MOUNTAIN COLORADO, CO US","2020",,"234",,,"-5",,,,"87","7033",,,"46.4","57.3","35.6",,,,,,,
"USS0006J38S","LOST DOG, CO US","2015",,,"      213",,,"64",,"1.00",,"8228","32.52",,,,,,,,,,,
"USS0006J38S","LOST DOG, CO US","2016",,,"      208",,,"68",,"1.90",,,"37.30",,,,,,,,,,,
"USS0006J38S","LOST DOG, CO US","2017",,,,,,,,"1.10",,,"36.93",,,,,,,,,,,
"USS0006J38S","LOST DOG, CO US","2018",,"67","      218",,"-5","59",,"0.90","81",,"30.31",,"41.8","49.3","34.2",,,,,,,
"USS0006J38S","LOST DOG, CO US","2019",,"34","      249",,"-7","88",,"1.30","78","9066","40.34",,"40.0","47.7","32.4",,,,,,,
"USS0006J38S","LOST DOG, CO US","2020",,"74","      228",,"-7","74",,"1.20","80","8990","28.35",,"41.6","49.5","33.6",,,,,,,
"USC00050263","ANTERO RESERVOIR, CO US","2015",,,"       92","        28",,"6","8.0","1.89",,,"15.55","80.4",,,,,,,,,,
"USC00050263","ANTERO RESERVOIR, CO US","2016",,"1","       79","        16","-45","14","12.0","0.94","85",,"9.77","53.5","37.4","54.9","19.9",,,,,,,
"USC00050263","ANTERO RESERVOIR, CO US","2017",,"2","       57","        20","-40","6","3.0","0.85","85","9698","9.52","33.3","38.8","55.6","22.1",,,,,,,
"USC00050263","ANTERO RESERVOIR, CO US","2018",,"1","       32","        10","-24","6","6.0","0.80","85","9082","6.58","21.9","38.1","55.9","20.2",,,,,,,
"USC00050263","ANTERO RESERVOIR, CO US","2019",,"0","      160","        29","-48","11","7.0","0.52","85","10894","10.21","93.8","33.5","51.2","15.9",,,,,,,
"USC00050263","ANTERO RESERVOIR, CO US","2020",,"0","      117","        17","-47","8","6.5","0.70","85","10988","7.08","50.4","35.1","53.5","16.7",,,,,,,
"US1COAR0099","AURORA 4.1 S, CO US","2016",,,,,,,,"1.71",,,"13.98",,,,,,,,,,,
"US1COAR0099","AURORA 4.1 S, CO US","2017",,,,,,,,"0.97",,,"14.23",,,,,,,,,,,
"US1COAR0099","AURORA 4.1 S, CO US","2018",,,,,,,,"1.12",,,"12.31",,,,,,,,,,,
"US1COAR0099","AURORA 4.1 S, CO US","2019",,,,,,,,"1.30",,,"18.89",,,,,,,,,,,
"US1COAR0099","AURORA 4.1 S, CO US","2020",,,,,,,,"1.55",,,"10.76",,,,,,,,,,,
"US1COLR0567","LA PORTE 10.0 NNW, CO US","2015",,,,,,,,"1.72",,,"22.56",,,,,,,,,,,
"US1COLR0567","LA PORTE 10.0 NNW, CO US","2020",,,,,,,,"1.02",,,"12.05",,,,,,,,,,,
"USR0000CPNR","PINE RIDGE COLORADO, CO US","2015",,"537",,,"1",,,,"93","6027",,,"49.9","60.2","39.5",,,,,,,
"USR0000CPNR","PINE RIDGE COLORADO, CO US","2016",,"606",,,"0",,,,"94","6318",,,"49.7","60.5","39.0",,,,,,,
"USR0000CPNR","PINE RIDGE COLORADO, CO US","2017",,"712",,,"-4",,,,"94","5638",,,"51.3","62.1","40.5",,,,,,,
"USR0000CPNR","PINE RIDGE COLORADO, CO US","2018",,"879",,,"3",,,,"95","5708",,,"50.4","61.0","39.9",,,,,,,
"USR0000CPNR","PINE RIDGE COLORADO, CO US","2019",,"665",,,"-1",,,,"95","6854",,,"48.1","58.8","37.5",,,,,,,
"USR0000CPNR","PINE RIDGE COLORADO, CO US","2020",,"860",,,"-2",,,,"94","6406",,,"50.2","61.4","39.0",,,,,,,
"USC00052965","FLORISSANT FOSSIL BED, CO US","2015",,"2",,,"-14",,,,"85","8687","22.17",,"41.2","57.0","25.4",,,,,,,
"USC00052965","FLORISSANT FOSSIL BED, CO US","2016",,,"       85","        17",,"10","7.8","1.15",,"8793","15.24","56.9",,,,,,,,,,
"USC00052965","FLORISSANT FOSSIL BED, CO US","2017",,"1","       43","        13","-19","4","4.0",,"87",,"16.68","35.3","42.2","58.8","25.5",,,,,,,
"USC00052965","FLORISSANT FOSSIL BED, CO US","2018",,"2",,,"-12",,,,"90","8127",,,"41.6","59.7","23.6",,,,,,,
"USC00052965","FLORISSANT FOSSIL BED, CO US","2019",,"2",,,"-17",,,,"87","9249",,,"39.3","56.6","22.1",,,,,,,
"USC00052965","FLORISSANT FOSSIL BED, CO US","2020",,"10","      114","        17","-23","19","8.0","0.65","87","9112","9.88","54.3","40.5","59.1","22.0",,,,,,,
"US1CORG0009","DEL NORTE 0.25 NW, CO US","2016",,,,,,,,"1.16",,,"11.30",,,,,,,,,,,
"US1CORG0009","DEL NORTE 0.25 NW, CO US","2017",,,,,,,,"0.93",,,"12.15",,,,,,,,,,,
